,equity
2022-09-16 13:41:00+00:00,0.0
2022-09-16 13:42:00+00:00,0.0
2022-09-16 13:43:00+00:00,0.0
2022-09-16 13:44:00+00:00,0.0
2022-09-16 13:45:00+00:00,0.0
2022-09-16 13:46:00+00:00,0.0
2022-09-16 13:47:00+00:00,0.0
2022-09-16 13:48:00+00:00,0.0
2022-09-16 13:49:00+00:00,0.0
2022-09-16 13:50:00+00:00,0.0
2022-09-16 13:51:00+00:00,0.0
2022-09-16 13:52:00+00:00,0.0
2022-09-16 13:53:00+00:00,0.0
2022-09-16 13:54:00+00:00,0.0
2022-09-16 13:55:00+00:00,0.0
2022-09-16 13:56:00+00:00,0.0
2022-09-16 13:57:00+00:00,0.0
2022-09-16 13:58:00+00:00,0.0
2022-09-16 13:59:00+00:00,0.0
2022-09-16 14:00:00+00:00,0.0
2022-09-16 14:01:00+00:00,0.0
2022-09-16 14:02:00+00:00,0.0
2022-09-16 14:03:00+00:00,0.0
2022-09-16 14:04:00+00:00,0.0
2022-09-16 14:05:00+00:00,0.0
2022-09-16 14:06:00+00:00,0.0
2022-09-16 14:07:00+00:00,0.0
2022-09-16 14:08:00+00:00,0.0
2022-09-16 14:09:00+00:00,0.0
2022-09-16 14:10:00+00:00,0.0
2022-09-16 14:11:00+00:00,0.0
2022-09-16 14:12:00+00:00,0.0
2022-09-16 14:13:00+00:00,0.0
2022-09-16 14:14:00+00:00,0.0
2022-09-16 14:15:00+00:00,0.0
2022-09-16 14:16:00+00:00,0.0
2022-09-16 14:17:00+00:00,0.0
2022-09-16 14:18:00+00:00,0.0
2022-09-16 14:19:00+00:00,0.0
2022-09-16 14:20:00+00:00,0.0
2022-09-16 14:21:00+00:00,0.0
2022-09-16 14:22:00+00:00,0.0
2022-09-16 14:23:00+00:00,0.0
2022-09-16 14:24:00+00:00,0.0
2022-09-16 14:25:00+00:00,0.0
2022-09-16 14:26:00+00:00,0.0
2022-09-16 14:27:00+00:00,0.0
2022-09-16 14:28:00+00:00,0.0
2022-09-16 14:29:00+00:00,0.0
2022-09-16 14:30:00+00:00,0.0
2022-09-16 14:31:00+00:00,0.0
2022-09-16 14:32:00+00:00,0.0
2022-09-16 14:33:00+00:00,0.0
2022-09-16 14:34:00+00:00,0.0
2022-09-16 14:35:00+00:00,0.0
2022-09-16 14:36:00+00:00,0.0
2022-09-16 14:37:00+00:00,0.0
2022-09-16 14:38:00+00:00,0.0
2022-09-16 14:39:00+00:00,0.0
2022-09-16 14:40:00+00:00,0.0
2022-09-16 14:41:00+00:00,0.0
2022-09-16 14:42:00+00:00,0.0
2022-09-16 14:43:00+00:00,0.0
2022-09-16 14:44:00+00:00,0.0
2022-09-16 14:45:00+00:00,0.0
2022-09-16 14:46:00+00:00,0.0
2022-09-16 14:47:00+00:00,0.0
2022-09-16 14:48:00+00:00,0.0
2022-09-16 14:49:00+00:00,0.0
2022-09-16 14:50:00+00:00,0.0
2022-09-16 14:51:00+00:00,0.0
2022-09-16 14:52:00+00:00,0.0
2022-09-16 14:53:00+00:00,0.0
2022-09-16 14:54:00+00:00,0.0
2022-09-16 14:55:00+00:00,0.0
2022-09-16 14:56:00+00:00,0.0
2022-09-16 14:57:00+00:00,0.0
2022-09-16 14:58:00+00:00,0.0
2022-09-16 14:59:00+00:00,0.0
2022-09-16 15:00:00+00:00,0.0
2022-09-16 15:01:00+00:00,0.0
2022-09-16 15:02:00+00:00,0.0
2022-09-16 15:03:00+00:00,0.0
2022-09-16 15:04:00+00:00,0.0
2022-09-16 15:05:00+00:00,0.0
2022-09-16 15:06:00+00:00,0.0
2022-09-16 15:07:00+00:00,0.0
2022-09-16 15:08:00+00:00,0.0
2022-09-16 15:09:00+00:00,0.0
2022-09-16 15:10:00+00:00,0.0
2022-09-16 15:11:00+00:00,0.0
2022-09-16 15:12:00+00:00,0.0
2022-09-16 15:13:00+00:00,0.0
2022-09-16 15:14:00+00:00,0.0
2022-09-16 15:15:00+00:00,0.0
2022-09-16 15:16:00+00:00,0.0
2022-09-16 15:17:00+00:00,0.0
2022-09-16 15:18:00+00:00,0.0
2022-09-16 15:19:00+00:00,0.0
2022-09-16 15:20:00+00:00,0.0
2022-09-16 15:21:00+00:00,0.0
2022-09-16 15:22:00+00:00,0.0
2022-09-16 15:23:00+00:00,0.0
2022-09-16 15:24:00+00:00,0.0
2022-09-16 15:25:00+00:00,0.0
2022-09-16 15:26:00+00:00,0.0
2022-09-16 15:27:00+00:00,0.0
2022-09-16 15:28:00+00:00,0.0
2022-09-16 15:29:00+00:00,0.0
2022-09-16 15:30:00+00:00,0.0
2022-09-16 15:31:00+00:00,0.0
2022-09-16 15:32:00+00:00,0.0
2022-09-16 15:33:00+00:00,0.0
2022-09-16 15:34:00+00:00,0.0
2022-09-16 15:35:00+00:00,0.0
2022-09-16 15:36:00+00:00,0.0
2022-09-16 15:37:00+00:00,0.0
2022-09-16 15:38:00+00:00,0.0
2022-09-16 15:39:00+00:00,0.0
2022-09-16 15:40:00+00:00,0.0
2022-09-16 15:41:00+00:00,0.0
2022-09-16 15:42:00+00:00,0.0
2022-09-16 15:43:00+00:00,0.0
2022-09-16 15:44:00+00:00,0.0
2022-09-16 15:45:00+00:00,0.0
2022-09-16 15:46:00+00:00,0.0
2022-09-16 15:47:00+00:00,0.0
2022-09-16 15:48:00+00:00,0.0
2022-09-16 15:49:00+00:00,0.0
2022-09-16 15:50:00+00:00,0.0
2022-09-16 15:51:00+00:00,0.0
2022-09-16 15:52:00+00:00,0.0
2022-09-16 15:53:00+00:00,0.0
2022-09-16 15:54:00+00:00,0.0
2022-09-16 15:55:00+00:00,0.0
2022-09-16 15:56:00+00:00,0.0
2022-09-16 15:57:00+00:00,0.0
2022-09-16 15:58:00+00:00,0.0
2022-09-16 15:59:00+00:00,0.0
2022-09-16 16:00:00+00:00,0.0
2022-09-16 16:01:00+00:00,0.0
2022-09-16 16:02:00+00:00,0.0
2022-09-16 16:03:00+00:00,0.0
2022-09-16 16:04:00+00:00,0.0
2022-09-16 16:05:00+00:00,0.0
2022-09-16 16:06:00+00:00,0.0
2022-09-16 16:07:00+00:00,0.0
2022-09-16 16:08:00+00:00,0.0
2022-09-16 16:09:00+00:00,0.0
2022-09-16 16:10:00+00:00,0.0
2022-09-16 16:11:00+00:00,0.0
2022-09-16 16:12:00+00:00,0.0
2022-09-16 16:13:00+00:00,0.0
2022-09-16 16:14:00+00:00,0.0
2022-09-16 16:15:00+00:00,0.0
2022-09-16 16:16:00+00:00,0.0
2022-09-16 16:17:00+00:00,0.0
2022-09-16 16:18:00+00:00,0.0
2022-09-16 16:19:00+00:00,0.0
2022-09-16 16:20:00+00:00,0.0
2022-09-16 16:21:00+00:00,0.0
2022-09-16 16:22:00+00:00,0.0
2022-09-16 16:23:00+00:00,0.0
2022-09-16 16:24:00+00:00,0.0
2022-09-16 16:25:00+00:00,0.0
2022-09-16 16:26:00+00:00,0.0
2022-09-16 16:27:00+00:00,0.0
2022-09-16 16:28:00+00:00,0.0
2022-09-16 16:29:00+00:00,0.0
2022-09-16 16:30:00+00:00,0.0
2022-09-16 16:31:00+00:00,0.0
2022-09-16 16:32:00+00:00,0.0
2022-09-16 16:33:00+00:00,0.0
2022-09-16 16:34:00+00:00,0.0
2022-09-16 16:35:00+00:00,0.0
2022-09-16 16:36:00+00:00,0.0
2022-09-16 16:37:00+00:00,0.0
2022-09-16 16:38:00+00:00,0.0
2022-09-16 16:39:00+00:00,0.0
2022-09-16 16:40:00+00:00,0.0
2022-09-16 16:41:00+00:00,0.0
2022-09-16 16:42:00+00:00,0.0
2022-09-16 16:43:00+00:00,0.0
2022-09-16 16:44:00+00:00,0.0
2022-09-16 16:45:00+00:00,0.0
2022-09-16 16:46:00+00:00,0.0
2022-09-16 16:47:00+00:00,0.0
2022-09-16 16:48:00+00:00,0.0
2022-09-16 16:49:00+00:00,0.0
2022-09-16 16:50:00+00:00,0.0
2022-09-16 16:51:00+00:00,0.0
2022-09-16 16:52:00+00:00,0.0
2022-09-16 16:53:00+00:00,0.0
2022-09-16 16:54:00+00:00,0.0
2022-09-16 16:55:00+00:00,0.0
2022-09-16 16:56:00+00:00,0.0
2022-09-16 16:57:00+00:00,0.0
2022-09-16 16:58:00+00:00,0.0
2022-09-16 16:59:00+00:00,0.0
2022-09-16 17:00:00+00:00,0.0
2022-09-16 17:01:00+00:00,0.0
2022-09-16 17:02:00+00:00,0.0
2022-09-16 17:03:00+00:00,0.0
2022-09-16 17:04:00+00:00,0.0
2022-09-16 17:05:00+00:00,0.0
2022-09-16 17:06:00+00:00,0.0
2022-09-16 17:07:00+00:00,0.0
2022-09-16 17:08:00+00:00,0.0
2022-09-16 17:09:00+00:00,0.0
2022-09-16 17:10:00+00:00,0.0
2022-09-16 17:11:00+00:00,0.0
2022-09-16 17:12:00+00:00,0.0
2022-09-16 17:13:00+00:00,0.0
2022-09-16 17:14:00+00:00,0.0
2022-09-16 17:15:00+00:00,0.0
2022-09-16 17:16:00+00:00,0.0
2022-09-16 17:17:00+00:00,0.0
2022-09-16 17:18:00+00:00,0.0
2022-09-16 17:19:00+00:00,0.0
2022-09-16 17:20:00+00:00,0.0
2022-09-16 17:21:00+00:00,0.0
2022-09-16 17:22:00+00:00,0.0
2022-09-16 17:23:00+00:00,0.0
2022-09-16 17:24:00+00:00,0.0
2022-09-16 17:25:00+00:00,0.0
2022-09-16 17:26:00+00:00,0.0
2022-09-16 17:27:00+00:00,0.0
2022-09-16 17:28:00+00:00,0.0
2022-09-16 17:29:00+00:00,0.0
2022-09-16 17:30:00+00:00,0.0
2022-09-16 17:31:00+00:00,0.0
2022-09-16 17:32:00+00:00,0.0
2022-09-16 17:33:00+00:00,0.0
2022-09-16 17:34:00+00:00,0.0
2022-09-16 17:35:00+00:00,0.0
2022-09-16 17:36:00+00:00,0.0
2022-09-16 17:37:00+00:00,0.0
2022-09-16 17:38:00+00:00,0.0
2022-09-16 17:39:00+00:00,0.0
2022-09-16 17:40:00+00:00,0.0
2022-09-16 17:41:00+00:00,0.0
2022-09-16 17:42:00+00:00,0.0
2022-09-16 17:43:00+00:00,0.0
2022-09-16 17:44:00+00:00,0.0
2022-09-16 17:45:00+00:00,0.0
2022-09-16 17:46:00+00:00,0.0
2022-09-16 17:47:00+00:00,0.0
2022-09-16 17:48:00+00:00,0.0
2022-09-16 17:49:00+00:00,0.0
2022-09-16 17:50:00+00:00,0.0
2022-09-16 17:51:00+00:00,0.0
2022-09-16 17:52:00+00:00,0.0
2022-09-16 17:53:00+00:00,0.0
2022-09-16 17:54:00+00:00,0.0
2022-09-16 17:55:00+00:00,0.0
2022-09-16 17:56:00+00:00,0.0
2022-09-16 17:57:00+00:00,0.0
2022-09-16 17:58:00+00:00,0.0
2022-09-16 17:59:00+00:00,0.0
2022-09-16 18:00:00+00:00,0.0
2022-09-16 18:01:00+00:00,0.0
2022-09-16 18:02:00+00:00,0.0
2022-09-16 18:03:00+00:00,0.0
2022-09-16 18:04:00+00:00,0.0
2022-09-16 18:05:00+00:00,0.0
2022-09-16 18:06:00+00:00,0.0
2022-09-16 18:07:00+00:00,0.0
2022-09-16 18:08:00+00:00,0.0
2022-09-16 18:09:00+00:00,0.0
2022-09-16 18:10:00+00:00,0.0
2022-09-16 18:11:00+00:00,0.0
2022-09-16 18:12:00+00:00,0.0
2022-09-16 18:13:00+00:00,0.0
2022-09-16 18:14:00+00:00,0.0
2022-09-16 18:15:00+00:00,0.0
2022-09-16 18:16:00+00:00,0.0
2022-09-16 18:17:00+00:00,0.0
2022-09-16 18:18:00+00:00,0.0
2022-09-16 18:19:00+00:00,0.0
2022-09-16 18:20:00+00:00,0.0
2022-09-16 18:21:00+00:00,0.0
2022-09-16 18:22:00+00:00,0.0
2022-09-16 18:23:00+00:00,0.0
2022-09-16 18:24:00+00:00,0.0
2022-09-16 18:25:00+00:00,0.0
2022-09-16 18:26:00+00:00,0.0
2022-09-16 18:27:00+00:00,0.0
2022-09-16 18:28:00+00:00,0.0
2022-09-16 18:29:00+00:00,0.0
2022-09-16 18:30:00+00:00,0.0
2022-09-16 18:31:00+00:00,0.0
2022-09-16 18:32:00+00:00,0.0
2022-09-16 18:33:00+00:00,0.0
2022-09-16 18:34:00+00:00,0.0
2022-09-16 18:35:00+00:00,0.0
2022-09-16 18:36:00+00:00,0.0
2022-09-16 18:37:00+00:00,0.0
2022-09-16 18:38:00+00:00,0.0
2022-09-16 18:39:00+00:00,0.0
2022-09-16 18:40:00+00:00,0.0
2022-09-16 18:41:00+00:00,0.0
2022-09-16 18:42:00+00:00,0.0
2022-09-16 18:43:00+00:00,0.0
2022-09-16 18:44:00+00:00,0.0
2022-09-16 18:45:00+00:00,0.0
2022-09-16 18:46:00+00:00,0.0
2022-09-16 18:47:00+00:00,0.0
2022-09-16 18:48:00+00:00,0.0
2022-09-16 18:49:00+00:00,0.0
2022-09-16 18:50:00+00:00,0.0
2022-09-16 18:51:00+00:00,0.0
2022-09-16 18:52:00+00:00,0.0
2022-09-16 18:53:00+00:00,0.0
2022-09-16 18:54:00+00:00,0.0
2022-09-16 18:55:00+00:00,0.0
2022-09-16 18:56:00+00:00,0.0
2022-09-16 18:57:00+00:00,0.0
2022-09-16 18:58:00+00:00,0.0
2022-09-16 18:59:00+00:00,0.0
2022-09-16 19:00:00+00:00,0.0
2022-09-16 19:01:00+00:00,0.0
2022-09-16 19:02:00+00:00,0.0
2022-09-16 19:03:00+00:00,0.0
2022-09-16 19:04:00+00:00,0.0
2022-09-16 19:05:00+00:00,0.0
2022-09-16 19:06:00+00:00,0.0
2022-09-16 19:07:00+00:00,0.0
2022-09-16 19:08:00+00:00,0.0
2022-09-16 19:09:00+00:00,0.0
2022-09-16 19:10:00+00:00,0.0
2022-09-16 19:11:00+00:00,0.0
2022-09-16 19:12:00+00:00,0.0
2022-09-16 19:13:00+00:00,0.0
2022-09-16 19:14:00+00:00,0.0
2022-09-16 19:15:00+00:00,0.0
2022-09-16 19:16:00+00:00,0.0
2022-09-16 19:17:00+00:00,0.0
2022-09-16 19:18:00+00:00,0.0
2022-09-16 19:19:00+00:00,0.0
2022-09-16 19:20:00+00:00,0.0
2022-09-16 19:21:00+00:00,0.0
2022-09-16 19:22:00+00:00,0.0
2022-09-16 19:23:00+00:00,0.0
2022-09-16 19:24:00+00:00,0.0
2022-09-16 19:25:00+00:00,0.0
2022-09-16 19:26:00+00:00,0.0
2022-09-16 19:27:00+00:00,0.0
2022-09-16 19:28:00+00:00,0.0
2022-09-16 19:29:00+00:00,0.0
2022-09-16 19:30:00+00:00,0.0
2022-09-16 19:31:00+00:00,0.0
2022-09-16 19:32:00+00:00,0.0
2022-09-16 19:33:00+00:00,0.0
2022-09-16 19:34:00+00:00,0.0
2022-09-16 19:35:00+00:00,0.0
2022-09-16 19:36:00+00:00,0.0
2022-09-16 19:37:00+00:00,0.0
2022-09-16 19:38:00+00:00,0.0
2022-09-16 19:39:00+00:00,0.0
2022-09-16 19:40:00+00:00,0.0
2022-09-16 19:41:00+00:00,0.0
2022-09-16 19:42:00+00:00,0.0
2022-09-16 19:43:00+00:00,0.0
2022-09-16 19:44:00+00:00,0.0
2022-09-16 19:45:00+00:00,0.0
2022-09-16 19:46:00+00:00,0.0
2022-09-16 19:47:00+00:00,0.0
2022-09-16 19:48:00+00:00,0.0
2022-09-16 19:49:00+00:00,0.0
2022-09-16 19:50:00+00:00,0.0
2022-09-16 19:51:00+00:00,0.0
2022-09-16 19:52:00+00:00,0.0
2022-09-16 19:53:00+00:00,0.0
2022-09-16 19:54:00+00:00,0.0
2022-09-16 19:55:00+00:00,0.0
2022-09-16 19:56:00+00:00,0.0
2022-09-16 19:57:00+00:00,0.0
2022-09-16 19:58:00+00:00,0.0
2022-09-16 19:59:00+00:00,0.0
2022-09-19 13:30:00+00:00,0.0
2022-09-19 13:31:00+00:00,0.0
2022-09-19 13:32:00+00:00,0.0
2022-09-19 13:33:00+00:00,0.0
2022-09-19 13:34:00+00:00,0.0
2022-09-19 13:35:00+00:00,0.0
2022-09-19 13:36:00+00:00,0.0
2022-09-19 13:37:00+00:00,0.0
2022-09-19 13:38:00+00:00,0.0
2022-09-19 13:39:00+00:00,0.0
2022-09-19 13:40:00+00:00,0.0
2022-09-19 13:41:00+00:00,0.0
2022-09-19 13:42:00+00:00,0.0
2022-09-19 13:43:00+00:00,0.0
2022-09-19 13:44:00+00:00,0.0
2022-09-19 13:45:00+00:00,0.0
2022-09-19 13:46:00+00:00,0.0
2022-09-19 13:47:00+00:00,0.0
2022-09-19 13:48:00+00:00,0.0
2022-09-19 13:49:00+00:00,0.0
2022-09-19 13:50:00+00:00,0.0
2022-09-19 13:51:00+00:00,0.0
2022-09-19 13:52:00+00:00,0.0
2022-09-19 13:53:00+00:00,0.0
2022-09-19 13:54:00+00:00,0.0
2022-09-19 13:55:00+00:00,0.0
2022-09-19 13:56:00+00:00,0.0
2022-09-19 13:57:00+00:00,0.0
2022-09-19 13:58:00+00:00,0.0
2022-09-19 13:59:00+00:00,0.0
2022-09-19 14:00:00+00:00,0.0
2022-09-19 14:01:00+00:00,0.0
2022-09-19 14:02:00+00:00,0.0
2022-09-19 14:03:00+00:00,0.0
2022-09-19 14:04:00+00:00,0.0
2022-09-19 14:05:00+00:00,0.0
2022-09-19 14:06:00+00:00,0.0
2022-09-19 14:07:00+00:00,0.0
2022-09-19 14:08:00+00:00,0.0
2022-09-19 14:09:00+00:00,0.0
2022-09-19 14:10:00+00:00,0.0
2022-09-19 14:11:00+00:00,0.0
2022-09-19 14:12:00+00:00,0.0
2022-09-19 14:13:00+00:00,0.0
2022-09-19 14:14:00+00:00,0.0
2022-09-19 14:15:00+00:00,0.0
2022-09-19 14:16:00+00:00,0.0
2022-09-19 14:17:00+00:00,0.0
2022-09-19 14:18:00+00:00,0.0
2022-09-19 14:19:00+00:00,0.0
2022-09-19 14:20:00+00:00,0.0
2022-09-19 14:21:00+00:00,0.0
2022-09-19 14:22:00+00:00,0.0
2022-09-19 14:23:00+00:00,0.0
2022-09-19 14:24:00+00:00,0.0
2022-09-19 14:25:00+00:00,0.0
2022-09-19 14:26:00+00:00,0.0
2022-09-19 14:27:00+00:00,0.0
2022-09-19 14:28:00+00:00,0.0
2022-09-19 14:29:00+00:00,0.0
2022-09-19 14:30:00+00:00,0.0
2022-09-19 14:31:00+00:00,0.0
2022-09-19 14:32:00+00:00,0.0
2022-09-19 14:33:00+00:00,0.0
2022-09-19 14:34:00+00:00,0.0
2022-09-19 14:35:00+00:00,0.0
2022-09-19 14:36:00+00:00,0.0
2022-09-19 14:37:00+00:00,0.0
2022-09-19 14:38:00+00:00,0.0
2022-09-19 14:39:00+00:00,0.0
2022-09-19 14:40:00+00:00,0.0
2022-09-19 14:41:00+00:00,0.0
2022-09-19 14:42:00+00:00,0.0
2022-09-19 14:43:00+00:00,0.0
2022-09-19 14:44:00+00:00,0.0
2022-09-19 14:45:00+00:00,0.0
2022-09-19 14:46:00+00:00,0.0
2022-09-19 14:47:00+00:00,0.0
2022-09-19 14:48:00+00:00,0.0
2022-09-19 14:49:00+00:00,0.0
2022-09-19 14:50:00+00:00,0.0
2022-09-19 14:51:00+00:00,0.0
2022-09-19 14:52:00+00:00,0.0
2022-09-19 14:53:00+00:00,0.0
2022-09-19 14:54:00+00:00,0.0
2022-09-19 14:55:00+00:00,0.0
2022-09-19 14:56:00+00:00,0.0
2022-09-19 14:57:00+00:00,0.0
2022-09-19 14:58:00+00:00,0.0
2022-09-19 14:59:00+00:00,0.0
2022-09-19 15:00:00+00:00,0.0
2022-09-19 15:01:00+00:00,0.0
2022-09-19 15:02:00+00:00,0.0
2022-09-19 15:03:00+00:00,0.0
2022-09-19 15:04:00+00:00,0.0
2022-09-19 15:05:00+00:00,0.0
2022-09-19 15:06:00+00:00,0.0
2022-09-19 15:07:00+00:00,0.0
2022-09-19 15:08:00+00:00,0.0
2022-09-19 15:09:00+00:00,0.0
2022-09-19 15:10:00+00:00,0.0
2022-09-19 15:11:00+00:00,0.0
2022-09-19 15:12:00+00:00,0.0
2022-09-19 15:13:00+00:00,0.0
2022-09-19 15:14:00+00:00,0.0
2022-09-19 15:15:00+00:00,0.0
2022-09-19 15:16:00+00:00,0.0
2022-09-19 15:17:00+00:00,0.0
2022-09-19 15:18:00+00:00,0.0
2022-09-19 15:19:00+00:00,0.0
2022-09-19 15:20:00+00:00,0.0
2022-09-19 15:21:00+00:00,0.0
2022-09-19 15:22:00+00:00,0.0
2022-09-19 15:23:00+00:00,0.0
2022-09-19 15:24:00+00:00,0.0
2022-09-19 15:25:00+00:00,0.0
2022-09-19 15:26:00+00:00,0.0
2022-09-19 15:27:00+00:00,0.0
2022-09-19 15:28:00+00:00,0.0
2022-09-19 15:29:00+00:00,0.0
2022-09-19 15:30:00+00:00,0.0
2022-09-19 15:31:00+00:00,0.0
2022-09-19 15:32:00+00:00,0.0
2022-09-19 15:33:00+00:00,0.0
2022-09-19 15:34:00+00:00,0.0
2022-09-19 15:35:00+00:00,0.0
2022-09-19 15:36:00+00:00,0.0
2022-09-19 15:37:00+00:00,0.0
2022-09-19 15:38:00+00:00,0.0
2022-09-19 15:39:00+00:00,0.0
2022-09-19 15:40:00+00:00,0.0
2022-09-19 15:41:00+00:00,0.0
2022-09-19 15:42:00+00:00,0.0
2022-09-19 15:43:00+00:00,0.0
2022-09-19 15:44:00+00:00,0.0
2022-09-19 15:45:00+00:00,0.0
2022-09-19 15:46:00+00:00,0.0
2022-09-19 15:47:00+00:00,0.0
2022-09-19 15:48:00+00:00,0.0
2022-09-19 15:49:00+00:00,0.0
2022-09-19 15:50:00+00:00,0.0
2022-09-19 15:51:00+00:00,0.0
2022-09-19 15:52:00+00:00,0.0
2022-09-19 15:53:00+00:00,0.0
2022-09-19 15:54:00+00:00,0.0
2022-09-19 15:55:00+00:00,0.0
2022-09-19 15:56:00+00:00,0.0
2022-09-19 15:57:00+00:00,0.0
2022-09-19 15:58:00+00:00,0.0
2022-09-19 15:59:00+00:00,0.0
2022-09-19 16:00:00+00:00,0.0
2022-09-19 16:01:00+00:00,0.0
2022-09-19 16:02:00+00:00,0.0
2022-09-19 16:03:00+00:00,0.0
2022-09-19 16:04:00+00:00,0.0
2022-09-19 16:05:00+00:00,0.0
2022-09-19 16:06:00+00:00,0.0
2022-09-19 16:07:00+00:00,0.0
2022-09-19 16:08:00+00:00,0.0
2022-09-19 16:09:00+00:00,0.0
2022-09-19 16:10:00+00:00,0.0
2022-09-19 16:11:00+00:00,0.0
2022-09-19 16:12:00+00:00,0.0
2022-09-19 16:13:00+00:00,0.0
2022-09-19 16:14:00+00:00,0.0
2022-09-19 16:15:00+00:00,0.0
2022-09-19 16:16:00+00:00,0.0
2022-09-19 16:17:00+00:00,0.0
2022-09-19 16:18:00+00:00,0.0
2022-09-19 16:19:00+00:00,0.0
2022-09-19 16:20:00+00:00,0.0
2022-09-19 16:21:00+00:00,0.0
2022-09-19 16:22:00+00:00,0.0
2022-09-19 16:23:00+00:00,0.0
2022-09-19 16:24:00+00:00,0.0
2022-09-19 16:25:00+00:00,0.0
2022-09-19 16:26:00+00:00,0.0
2022-09-19 16:27:00+00:00,0.0
2022-09-19 16:28:00+00:00,0.0
2022-09-19 16:29:00+00:00,0.0
2022-09-19 16:30:00+00:00,0.0
2022-09-19 16:31:00+00:00,0.0
2022-09-19 16:32:00+00:00,0.0
2022-09-19 16:33:00+00:00,0.0
2022-09-19 16:34:00+00:00,0.0
2022-09-19 16:35:00+00:00,0.0
2022-09-19 16:36:00+00:00,0.0
2022-09-19 16:37:00+00:00,0.0
2022-09-19 16:38:00+00:00,0.0
2022-09-19 16:39:00+00:00,0.0
2022-09-19 16:40:00+00:00,0.0
2022-09-19 16:41:00+00:00,0.0
2022-09-19 16:42:00+00:00,0.0
2022-09-19 16:43:00+00:00,0.0
2022-09-19 16:44:00+00:00,0.0
2022-09-19 16:45:00+00:00,0.0
2022-09-19 16:46:00+00:00,0.0
2022-09-19 16:47:00+00:00,0.0
2022-09-19 16:48:00+00:00,0.0
2022-09-19 16:49:00+00:00,0.0
2022-09-19 16:50:00+00:00,0.0
2022-09-19 16:51:00+00:00,0.0
2022-09-19 16:52:00+00:00,0.0
2022-09-19 16:53:00+00:00,0.0
2022-09-19 16:54:00+00:00,0.0
2022-09-19 16:55:00+00:00,0.0
2022-09-19 16:56:00+00:00,0.0
2022-09-19 16:57:00+00:00,0.0
2022-09-19 16:58:00+00:00,0.0
2022-09-19 16:59:00+00:00,0.0
2022-09-19 17:00:00+00:00,0.0
2022-09-19 17:01:00+00:00,0.0
2022-09-19 17:02:00+00:00,0.0
2022-09-19 17:03:00+00:00,0.0
2022-09-19 17:04:00+00:00,0.0
2022-09-19 17:05:00+00:00,0.0
2022-09-19 17:06:00+00:00,0.0
2022-09-19 17:07:00+00:00,0.0
2022-09-19 17:08:00+00:00,0.0
2022-09-19 17:09:00+00:00,0.0
2022-09-19 17:10:00+00:00,0.0
2022-09-19 17:11:00+00:00,0.0
2022-09-19 17:12:00+00:00,0.0
2022-09-19 17:13:00+00:00,0.0
2022-09-19 17:14:00+00:00,0.0
2022-09-19 17:15:00+00:00,0.0
2022-09-19 17:16:00+00:00,0.0
2022-09-19 17:17:00+00:00,0.0
2022-09-19 17:18:00+00:00,0.0
2022-09-19 17:19:00+00:00,0.0
2022-09-19 17:20:00+00:00,0.0
2022-09-19 17:21:00+00:00,0.0
2022-09-19 17:22:00+00:00,0.0
2022-09-19 17:23:00+00:00,0.0
2022-09-19 17:24:00+00:00,0.0
2022-09-19 17:25:00+00:00,0.0
2022-09-19 17:26:00+00:00,0.0
2022-09-19 17:27:00+00:00,0.0
2022-09-19 17:28:00+00:00,0.0
2022-09-19 17:29:00+00:00,0.0
2022-09-19 17:30:00+00:00,0.0
2022-09-19 17:31:00+00:00,0.0
2022-09-19 17:32:00+00:00,0.0
2022-09-19 17:33:00+00:00,0.0
2022-09-19 17:34:00+00:00,0.0
2022-09-19 17:35:00+00:00,0.0
2022-09-19 17:36:00+00:00,0.0
2022-09-19 17:37:00+00:00,0.0
2022-09-19 17:38:00+00:00,0.0
2022-09-19 17:39:00+00:00,0.0
2022-09-19 17:40:00+00:00,0.0
2022-09-19 17:41:00+00:00,0.0
2022-09-19 17:42:00+00:00,0.0
2022-09-19 17:43:00+00:00,0.0
2022-09-19 17:44:00+00:00,0.0
2022-09-19 17:45:00+00:00,0.0
2022-09-19 17:46:00+00:00,0.0
2022-09-19 17:47:00+00:00,0.0
2022-09-19 17:48:00+00:00,0.0
2022-09-19 17:49:00+00:00,0.0
2022-09-19 17:50:00+00:00,0.0
2022-09-19 17:51:00+00:00,0.0
2022-09-19 17:52:00+00:00,0.0
2022-09-19 17:53:00+00:00,0.0
2022-09-19 17:54:00+00:00,0.0
2022-09-19 17:55:00+00:00,0.0
2022-09-19 17:56:00+00:00,0.0
2022-09-19 17:57:00+00:00,0.0
2022-09-19 17:58:00+00:00,0.0
2022-09-19 17:59:00+00:00,0.0
2022-09-19 18:00:00+00:00,0.0
2022-09-19 18:01:00+00:00,0.0
2022-09-19 18:02:00+00:00,0.0
2022-09-19 18:03:00+00:00,0.0
2022-09-19 18:04:00+00:00,0.0
2022-09-19 18:05:00+00:00,0.0
2022-09-19 18:06:00+00:00,0.0
2022-09-19 18:07:00+00:00,0.0
2022-09-19 18:08:00+00:00,0.0
2022-09-19 18:09:00+00:00,0.0
2022-09-19 18:10:00+00:00,0.0
2022-09-19 18:11:00+00:00,0.0
2022-09-19 18:12:00+00:00,0.0
2022-09-19 18:13:00+00:00,0.0
2022-09-19 18:14:00+00:00,0.0
2022-09-19 18:15:00+00:00,0.0
2022-09-19 18:16:00+00:00,0.0
